Source:,C:\Users\kguerra\Dropbox\PC\Desktop\Microcontroller\Kitty Caddy\KittyCaddy\KittyCaddy.sch,,,,,
Date:,12/18/2021 16:05,,,,,
Tool:,Eeschema (5.1.10)-1,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,
Component Count:,17,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
"C1, C2, ",2,100uF,CP1,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,"Polarized capacitor, US symbol",https://www.digikey.com/en/products/detail/illinois-capacitor/107CKH063M/5343973
"C3, ",1,.1uF,C,KittyCaddy:1C10Z5U104M050B,Unpolarized capacitor,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/1C10Z5U104M050B/7056991
"J1, ",1,12 V Power,Barrel_Jack_Switch,Connector_BarrelJack:BarrelJack_Horizontal,DC Barrel Jack with an internal switch,https://www.pololu.com/product/1139
"J2, ",1,digikey:17HS13-1204S,Conn_01x04,Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",https://www.digikey.com/en/products/detail/molex/0022232041/26671
"J3, ",1,digikey:OPB740WZ,Conn_01x05,Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",https://www.digikey.com/en/products/detail/molex/0022232051/26673
"J4, ",1,Ground Pin,Conn_01x01,Connector_Pin:Pin_D1.0mm_L10.0mm_LooseFit,"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",
"R1, ",1,10k,R_US,KittyCaddy:CF14JT10K0,"Resistor, US symbol",https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT10K0/1741265
"R2, ",1,100,R_US,KittyCaddy:CFR-25JT-52-100R,"Resistor, US symbol",https://www.digikey.com/en/products/detail/yageo/CFR-25JT-52-100R/13921496
"SW1, SW2, SW3, ",3,SW_Push,SW_Push,KittyCaddy:DigikeyEG1833-ND,"Push button switch, generic, two pins",
"U1, ",1,D24V3F5,Buck_5V,KittyCaddy:D24V3F5,,Polulu: https://www.pololu.com/product/2098
"U2, ",1,DRV8825,DRV8825,Module:Pololu_Breakout-16_15.2x20.3mm,,https://www.pololu.com/product/2133
"U3, ",1,Arduino_Nano_v2.x,Arduino_Nano_v2.x,Module:Arduino_Nano,Arduino Nano v2.x,https://www.amazon.com/gp/product/B0713XK923/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1
"U4, ",1,SSD1306_IIC_OLED_Display,SSD1306_IIC_OLED_Display,KittyCaddy:IIC_Display,,https://www.amazon.com/dp/B08VNRH5HR
"U5, ",1,DS3231,DS3231_Precision_RTC,KittyCaddy:DS3231,,https://www.adafruit.com/product/3013
